2025-03-27T10:35:44+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:35:45+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:35:56+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:36:48+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:36:48+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:36:56+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:37:57+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:39:58+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:41:59+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:44:00+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:46:01+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

2025-03-27T10:48:23+00:00 CRITICAL syntax error, unexpected ':', expecting ',' or ')' dans C:\Users\dangomespin\Downloads\UwAmp\UwAmp\www\wordpress\wp-content\plugins\ultimate-member\includes\core\um-actions-profile.php à la ligne 745

